BranchCode,BranchName,IFSCCode,MICRCode,ManagerName,State,District,City,Pincode,Phone
BR1043,Zenith Road,LOMX09531,526201353,Yash Gupta,Uttar Pradesh,Amroha,Amroha,244221,5400150188
BR1044,Classic Nagar,LOMX09532,526201354,Gaurav Singh,Uttar Pradesh,Moradabad,Moradabad,244001,5400150189
BR1045,Prestige Market,LOMX09533,526201355,Mukesh Meena,Uttar Pradesh,Rampur,Rampur,244901,5400150190
BR1046,Silver Heights,LOMX09534,526201356,Rajat Sharma,Uttar Pradesh,Bijnor,Bijnor,246701,5400150191
BR1047,Golden Square,LOMX09535,526201357,Rohit Gupta,Uttar Pradesh,Muzaffarnagar,Muzaffarnagar,251001,5400150192
BR1048,Capital Road,LOMX09536,526201358,Nikhil Verma,Uttar Pradesh,Saharanpur,Saharanpur,247001,5400150193
BR1049,Riverfront,LOMX09537,526201359,Vikas Tiwari,Uttar Pradesh,Shamli,Shamli,247776,5400150194
BR1050,Garden Colony,LOMX09538,526201360,Siddharth Jain,Uttar Pradesh,Baghpat,Baghpat,250609,5400150195
BR1051,Heritage Chowk,LOMX09539,526201361,Ankit Kulkarni,Uttar Pradesh,Hapur,Hapur,245101,5400150196
BR1052,Park View,LOMX09540,526201362,Omkar Patil,Uttar Pradesh,Bulandshahr,Bulandshahr,203001,5400150197
BR1053,Delta Plaza,LOMX09541,526201363,Ritesh Shah,Uttar Pradesh,Aligarh,Aligarh,202001,5400150198
BR1054,Alpha Nagar,LOMX09542,526201364,Karan Mehta,Uttar Pradesh,Hathras,Hathras,204101,5400150199
BR1055,Beta Market,LOMX09543,526201365,Soumik Roy,Uttar Pradesh,Kasganj,Kasganj,207123,5400150200
BR1056,Gamma Road,LOMX09544,526201366,Anirban Das,Uttar Pradesh,Etah,Etah,207001,5400150201
BR1057,Lotus Garden,LOMX09545,526201367,Debashish Sahu,Uttar Pradesh,Mainpuri,Mainpuri,205001,5400150202
BR1058,Anand Nagar,LOMX09546,526201368,Sandeep Nayak,Uttar Pradesh,Farrukhabad,Farrukhabad,209625,5400150203
BR1059,Vijay Chowk,LOMX09547,526201369,Sai Krishna,Uttar Pradesh,Etawah,Etawah,206001,5400150204
BR1060,Kalyan Vihar,LOMX09548,526201370,Naveen Reddy,Uttar Pradesh,Auraiya,Auraiya,206122,5400150205
BR1061,Saraswati Colony,LOMX09549,526201371,Prakash Gowda,Uttar Pradesh,Jalaun,Orai,285001,5400150206
BR1062,Shiv Park,LOMX09550,526201372,Vinay Kumar,Uttar Pradesh,Hamirpur,Hamirpur,210301,5400150207
BR1063,Ashok Avenue,LOMX09551,526201373,Arvind Raj,Uttar Pradesh,Mahoba,Mahoba,210427,5400150208
BR1064,Rajendra Nagar,LOMX09552,526201374,Dinesh Kumar,Uttar Pradesh,Banda,Banda,210001,5400150209
BR1065,Metro Road,LOMX09553,526201375,Joseph Mathew,Uttar Pradesh,Chitrakoot,Karwi,210205,5400150210
BR1066,Crystal Tower,LOMX09554,526201376,Nivin Thomas,Uttar Pradesh,Fatehpur,Fatehpur,212601,5400150211
BR1067,Prime Enclave,LOMX09555,526201377,Gurpreet Singh,Uttar Pradesh,Kaushambi,Manjhanpur,212207,5400150212
BR1068,Elite Point,LOMX09556,526201378,Ashish Malhotra,Uttar Pradesh,Pratapgarh,Pratapgarh,230001,5400150213
BR1069,Central Market,LOMX09557,526201379,Dhruv Patel,Uttar Pradesh,Jaunpur,Jaunpur,222001,5400150214
BR1070,Royal Park,LOMX09558,526201380,Nirav Shah,Uttar Pradesh,Ghazipur,Ghazipur,233001,5400150215
BR1071,Orbit Plaza,LOMX09559,526201381,Jay Patel,Uttar Pradesh,Mau,Mau,275101,5400150216
BR1072,Zenith Avenue,LOMX09560,526201382,Parth Desai,Uttar Pradesh,Azamgarh,Azamgarh,276001,5400150217
BR1073,Classic Road,LOMX09561,526201383,Harsh Patel,Uttar Pradesh,Ambedkar Nagar,Akbarpur,224122,5400150218
BR1074,Prestige Colony,LOMX09562,526201384,Krunal Shah,Uttar Pradesh,Sonbhadra,Robertsganj,231216,5400150219
BR1075,Crown Square,LOMX09563,526201385,Rajesh Reddy,Uttar Pradesh,Mirzapur,Mirzapur,231001,5400150220
BR1076,Green Avenue,LOMX09564,526201386,Rakesh Sharma,Bihar,Patna,Patna,800001,5400150221
BR1077,River Park,LOMX09565,526201387,Vivek Kumar,Bihar,Gaya,Gaya,823001,5400150222
BR1078,Lotus Tower,LOMX09566,526201388,Abhishek Singh,Bihar,Muzaffarpur,Muzaffarpur,842001,5400150223
BR1079,Metro Square,LOMX09567,526201389,Harsh Gupta,Bihar,Bhagalpur,Bhagalpur,812001,5400150224
BR1080,Capital Plaza,LOMX09568,526201390,Ankit Verma,Bihar,Darbhanga,Darbhanga,846004,5400150225
BR1081,Silver Market,LOMX09569,526201391,Ayush Sharma,Bihar,Purnia,Purnia,854301,5400150226
BR1082,Golden Park,LOMX09570,526201392,Rohit Mishra,Bihar,Arrah,Arrah,802301,5400150227
BR1083,Industrial Road,LOMX09571,526201393,Nikhil Pandey,Bihar,Siwan,Siwan,841226,5400150228
BR1084,Airport View,LOMX09572,526201394,Manish Gupta,Bihar,Chapra,Chapra,841301,5400150229
BR1085,Station Plaza,LOMX09573,526201395,Saurabh Singh,Bihar,Bettiah,Bettiah,845438,5400150230
BR1086,Galaxy Point,LOMX09574,526201396,Pankaj Kumar,Bihar,Motihari,Motihari,845401,5400150231
BR1087,Harmony Road,LOMX09575,526201397,Akash Tiwari,Bihar,Sitamarhi,Sitamarhi,843302,5400150232
BR1088,Velocity Nagar,LOMX09576,526201398,Deepak Sharma,Bihar,Samastipur,Samastipur,848101,5400150233
BR1089,Summit Colony,LOMX09577,526201399,Rajat Verma,Bihar,Begusarai,Begusarai,851101,5400150234
BR1090,Riverfront Avenue,LOMX09578,526201400,Varun Gupta,Bihar,Munger,Munger,811201,5400150235
BR1091,Prime Heights,LOMX09579,526201401,Amit Singh,Bihar,Nalanda,Bihar Sharif,803101,5400150236
BR1092,Metro Heights,LOMX09580,526201402,Karan Sharma,Bihar,Sasaram,Sasaram,821115,5400150237
BR1093,Classic Tower,LOMX09581,526201403,Harshit Gupta,Bihar,Katihar,Katihar,854105,5400150238
BR1094,Elite Avenue,LOMX09582,526201404,Prashant Kumar,Bihar,Kishanganj,Kishanganj,855107,5400150239
BR1095,Crystal Road,LOMX09583,526201405,Anurag Singh,Bihar,Madhubani,Madhubani,847211,5400150240
BR1096,Royal Colony,LOMX09584,526201406,Yogesh Sharma,Bihar,Supaul,Supaul,852131,5400150241
BR1097,Central Point,LOMX09585,526201407,Kapil Verma,Bihar,Saharsa,Saharsa,852201,5400150242
BR1098,Prestige Market,LOMX09586,526201408,Hemant Jain,Bihar,Khagaria,Khagaria,851204,5400150243
BR1099,Orbit Square,LOMX09587,526201409,Vimal Kumar,Bihar,Jamui,Jamui,811307,5400150244
BR1100,Lake View,LOMX09588,526201410,Aarav Kumar,Bihar,Araria,Araria,854311,5400150245
BR1101,Shiv Enclave,LOMX09589,526201411,Rohan Singh,Bihar,Banka,Banka,813102,5400150246
BR1102,Royal Garden,LOMX09590,526201412,Kabir Sharma,Bihar,Buxar,Buxar,802101,5400150247
BR1103,Metro Point,LOMX09591,526201413,Aditya Gupta,Bihar,Gopalganj,Gopalganj,841428,5400150248
BR1104,Central Plaza,LOMX09592,526201414,Vivaan Mishra,Bihar,Jehanabad,Jehanabad,804408,5400150249
BR1105,Silver Heights,LOMX09593,526201415,Arjun Tiwari,Bihar,Lakhisarai,Lakhisarai,811311,5400150250
BR1106,Green Valley,LOMX09594,526201416,Krish Pandey,Bihar,Madhepura,Madhepura,852113,5400150251
BR1107,Prime Avenue,LOMX09595,526201417,Mohit Yadav,Bihar,Nawada,Nawada,805110,5400150252
BR1108,Orbit Tower,LOMX09596,526201418,Aman Srivastava,Bihar,Sheikhpura,Sheikhpura,811105,5400150253
BR1109,Elite Square,LOMX09597,526201419,Rahul Chauhan,Bihar,Vaishali,Hajipur,844101,5400150254
BR1110,Crystal Market,LOMX09598,526201420,Kunal Saxena,Jharkhand,Ranchi,Ranchi,834001,5400150255
BR1111,Riverfront Road,LOMX09599,526201421,Saurabh Agarwal,Jharkhand,Jamshedpur,Jamshedpur,831001,5400150256
BR1112,Lotus Nagar,LOMX09600,526201422,Nitin Sharma,Jharkhand,Dhanbad,Dhanbad,826001,5400150257
BR1113,Galaxy Chowk,LOMX09601,526201423,Deepak Verma,Jharkhand,Bokaro,Bokaro,827001,5400150258
BR1114,Prestige Avenue,LOMX09602,526201424,Pankaj Singh,Jharkhand,Deoghar,Deoghar,814112,5400150259
BR1115,Harmony Plaza,LOMX09603,526201425,Manish Gupta,Jharkhand,Hazaribagh,Hazaribagh,825301,5400150260
BR1116,Capital Market,LOMX09604,526201426,Akash Mishra,Jharkhand,Giridih,Giridih,815301,5400150261
BR1117,Classic Road,LOMX09605,526201427,Harsh Tandon,Jharkhand,Palamu,Daltonganj,822101,5400150262
BR1118,Crown Enclave,LOMX09606,526201428,Abhishek Jain,Jharkhand,Ramgarh,Ramgarh,829122,5400150263
BR1119,Velocity Point,LOMX09607,526201429,Ayush Srivastava,Jharkhand,Chatra,Chatra,825401,5400150264
BR1120,Sunrise Colony,LOMX09608,526201430,Prateek Shukla,Chhattisgarh,Raipur,Raipur,492001,5400150265
BR1121,Green Park,LOMX09609,526201431,Sachin Pandey,Chhattisgarh,Bilaspur,Bilaspur,495001,5400150266
BR1122,Royal Square,LOMX09610,526201432,Hemant Sharma,Chhattisgarh,Durg,Durg,491001,5400150267
BR1123,Crystal Heights,LOMX09611,526201433,Yash Gupta,Chhattisgarh,Rajnandgaon,Rajnandgaon,491441,5400150268
BR1124,Metro Avenue,LOMX09612,526201434,Gaurav Singh,Chhattisgarh,Korba,Korba,495677,5400150269
BR1125,Prime Colony,LOMX09613,526201435,Mukesh Meena,Chhattisgarh,Jagdalpur,Jagdalpur,494001,5400150270
BR1126,Central Road,LOMX09614,526201436,Rajat Sharma,Chhattisgarh,Raigarh,Raigarh,496001,5400150271
BR1127,Orbit Plaza,LOMX09615,526201437,Rohit Gupta,Chhattisgarh,Ambikapur,Ambikapur,497001,5400150272
BR1128,Elite Tower,LOMX09616,526201438,Nikhil Verma,Chhattisgarh,Kanker,Kanker,494334,5400150273
BR1129,Golden Market,LOMX09617,526201439,Vikas Tiwari,Chhattisgarh,Kawardha,Kawardha,491995,5400150274
BR1130,Lotus Avenue,LOMX09618,526201440,Siddharth Jain,Madhya Pradesh,Gwalior,Gwalior,474001,5400150275
BR1131,Shiv Plaza,LOMX09619,526201441,Ankit Kulkarni,Madhya Pradesh,Jabalpur,Jabalpur,482001,5400150276
BR1132,River View,LOMX09620,526201442,Omkar Patil,Madhya Pradesh,Ujjain,Ujjain,456001,5400150277
BR1133,Metro Garden,LOMX09621,526201443,Ritesh Shah,Madhya Pradesh,Sagar,Sagar,470001,5400150278
BR1134,Prime Road,LOMX09622,526201444,Karan Mehta,Madhya Pradesh,Satna,Satna,485001,5400150279
BR1135,Royal Colony,LOMX09623,526201445,Soumik Roy,Madhya Pradesh,Rewa,Rewa,486001,5400150280
BR1136,Green Valley,LOMX09624,526201446,Anirban Das,Madhya Pradesh,Chhindwara,Chhindwara,480001,5400150281
BR1137,Crystal Square,LOMX09625,526201447,Debashish Sahu,Madhya Pradesh,Damoh,Damoh,470661,5400150282
BR1138,Capital Point,LOMX09626,526201448,Sandeep Nayak,Madhya Pradesh,Dewas,Dewas,455001,5400150283
BR1139,Harmony Park,LOMX09627,526201449,Sai Krishna,Madhya Pradesh,Katni,Katni,483501,5400150284
BR1140,Galaxy Heights,LOMX09628,526201450,Naveen Reddy,Maharashtra,Aurangabad,Aurangabad,431001,5400150285
BR1141,Silver Plaza,LOMX09629,526201451,Prakash Gowda,Maharashtra,Nashik,Nashik,422001,5400150286
BR1142,Elite Avenue,LOMX09630,526201452,Vinay Kumar,Maharashtra,Kolhapur,Kolhapur,416003,5400150287
BR1143,Royal Market,LOMX09631,526201453,Arvind Raj,Maharashtra,Solapur,Solapur,413001,5400150288
BR1144,Metro Road,LOMX09632,526201454,Dinesh Kumar,Maharashtra,Sangli,Sangli,416416,5400150289
BR1145,Lotus Garden,LOMX09633,526201455,Joseph Mathew,Maharashtra,Ahmednagar,Ahmednagar,414001,5400150290
BR1146,Prime Tower,LOMX09634,526201456,Nivin Thomas,Maharashtra,Jalgaon,Jalgaon,425001,5400150291
BR1147,Crystal Point,LOMX09635,526201457,Gurpreet Singh,Maharashtra,Akola,Akola,444001,5400150292
BR1148,Central Square,LOMX09636,526201458,Ashish Malhotra,Maharashtra,Amravati,Amravati,444601,5400150293
BR1149,Orbit Colony,LOMX09637,526201459,Dhruv Patel,Maharashtra,Latur,Latur,413512,5400150294
BR1150,Prestige Road,LOMX09638,526201460,Nirav Shah,Gujarat,Rajkot,Rajkot,360001,5400150295
BR1151,Crown Plaza,LOMX09639,526201461,Jay Patel,Gujarat,Bhavnagar,Bhavnagar,364001,5400150296
BR1152,Velocity Market,LOMX09640,526201462,Parth Desai,Gujarat,Jamnagar,Jamnagar,361001,5400150297
BR1153,Galaxy Road,LOMX09641,526201463,Harsh Patel,Gujarat,Gandhinagar,Gandhinagar,382010,5400150298
BR1154,Elite Heights,LOMX09642,526201464,Krunal Shah,Gujarat,Anand,Anand,388001,5400150299
BR1155,Riverfront Plaza,LOMX09643,526201465,Rajesh Reddy,Gujarat,Mehsana,Mehsana,384001,5400150300
BR1156,Prime Avenue,LOMX09644,526201466,Rakesh Sharma,Gujarat,Patan,Patan,384265,5400150301
BR1157,Lotus Point,LOMX09645,526201467,Vivek Kumar,Gujarat,Junagadh,Junagadh,362001,5400150302
BR1158,Central Colony,LOMX09646,526201468,Abhishek Singh,Gujarat,Porbandar,Porbandar,360575,5400150303
BR1159,Royal Park,LOMX09647,526201469,Harsh Gupta,Gujarat,Valsad,Valsad,396001,5400150304
BR1160,Crystal Road,LOMX09648,526201470,Ankit Verma,Rajasthan,Ajmer,Ajmer,305001,5400150305
BR1161,Metro Heights,LOMX09649,526201471,Ayush Sharma,Rajasthan,Kota,Kota,324001,5400150306
BR1162,Prime Square,LOMX09650,526201472,Rohit Mishra,Rajasthan,Alwar,Alwar,301001,5400150307
BR1163,Silver Colony,LOMX09651,526201473,Nikhil Pandey,Rajasthan,Bharatpur,Bharatpur,321001,5400150308
BR1164,Elite Market,LOMX09652,526201474,Manish Gupta,Rajasthan,Bhilwara,Bhilwara,311001,5400150309
BR1165,Orbit Avenue,LOMX09653,526201475,Saurabh Singh,Rajasthan,Sikar,Sikar,332001,5400150310
BR1166,Crown Road,LOMX09654,526201476,Pankaj Kumar,Rajasthan,Pali,Pali,306401,5400150311
BR1167,Galaxy Plaza,LOMX09655,526201477,Akash Tiwari,Rajasthan,Churu,Churu,331001,5400150312
BR1168,Central Tower,LOMX09656,526201478,Deepak Sharma,Rajasthan,Barmer,Barmer,344001,5400150313
BR1169,River View,LOMX09657,526201479,Rajat Verma,Rajasthan,Nagaur,Nagaur,341001,5400150314
BR1170,Prestige Heights,LOMX09658,526201480,Varun Gupta,Punjab,Patiala,Patiala,147001,5400150315
BR1171,Lotus Market,LOMX09659,526201481,Amit Singh,Punjab,Jalandhar,Jalandhar,144001,5400150316
BR1172,Metro Avenue,LOMX09660,526201482,Karan Sharma,Punjab,Bathinda,Bathinda,151001,5400150317
BR1173,Prime Colony,LOMX09661,526201483,Harshit Gupta,Punjab,Moga,Moga,142001,5400150318
BR1174,Silver Plaza,LOMX09662,526201484,Prashant Kumar,Punjab,Firozpur,Firozpur,152002,5400150319
BR1175,Royal Point,LOMX09663,526201485,Anurag Singh,Punjab,Hoshiarpur,Hoshiarpur,146001,5400150320
BR1176,Elite Road,LOMX09664,526201486,Yogesh Sharma,Punjab,Kapurthala,Kapurthala,144601,5400150321
BR1177,Central Park,LOMX09665,526201487,Kapil Verma,Punjab,Sangrur,Sangrur,148001,5400150322
BR1178,Galaxy Square,LOMX09666,526201488,Hemant Jain,Punjab,Barnala,Barnala,148101,5400150323
BR1179,Crystal Tower,LOMX09667,526201489,Vimal Kumar,Punjab,Fazilka,Fazilka,152123,5400150324
BR1180,Riverfront Avenue,LOMX09668,526201490,Aarav Kumar,Haryana,Hisar,Hisar,125001,5400150325
BR1181,Lotus Heights,LOMX09669,526201491,Rohan Singh,Haryana,Rohtak,Rohtak,124001,5400150326
BR1182,Metro Road,LOMX09670,526201492,Kabir Sharma,Haryana,Panipat,Panipat,132103,5400150327
BR1183,Prime Plaza,LOMX09671,526201493,Aditya Gupta,Haryana,Karnal,Karnal,132001,5400150328
BR1184,Silver Market,LOMX09672,526201494,Vivaan Mishra,Haryana,Ambala,Ambala,134003,5400150329
BR1185,Elite Colony,LOMX09673,526201495,Arjun Tiwari,Haryana,Sonipat,Sonipat,131001,5400150330
BR1186,Royal Square,LOMX09674,526201496,Krish Pandey,Haryana,Bhiwani,Bhiwani,127021,5400150331
BR1187,Galaxy Point,LOMX09675,526201497,Mohit Yadav,Haryana,Rewari,Rewari,123401,5400150332
BR1188,Crystal Park,LOMX09676,526201498,Aman Srivastava,Haryana,Jind,Jind,126102,5400150333
BR1189,Central Avenue,LOMX09677,526201499,Rahul Chauhan,Haryana,Sirsa,Sirsa,125055,5400150334
BR1190,Orbit Market,LOMX09678,526201500,Kunal Saxena,Uttarakhand,Nainital,Haldwani,263139,5400150335
BR1191,Prime Road,LOMX09679,526201501,Saurabh Agarwal,Uttarakhand,Udham Singh Nagar,Rudrapur,263153,5400150336
BR1192,Silver Tower,LOMX09680,526201502,Nitin Sharma,Uttarakhand,Pauri Garhwal,Srinagar,246174,5400150337
BR1193,Royal Colony,LOMX09681,526201503,Deepak Verma,Uttarakhand,Almora,Almora,263601,5400150338
BR1194,Elite Plaza,LOMX09682,526201504,Pankaj Singh,Uttarakhand,Tehri Garhwal,New Tehri,249001,5400150339
BR1195,Crystal Avenue,LOMX09683,526201505,Manish Gupta,Uttarakhand,Champawat,Champawat,262523,5400150340
BR1196,Metro Heights,LOMX09684,526201506,Akash Mishra,Uttarakhand,Bageshwar,Bageshwar,263642,5400150341
BR1197,Central Point,LOMX09685,526201507,Harsh Tandon,Uttarakhand,Pithoragarh,Pithoragarh,262501,5400150342
BR1198,Galaxy Market,LOMX09686,526201508,Abhishek Jain,Uttarakhand,Rudraprayag,Rudraprayag,246171,5400150343
BR1199,Prestige Square,LOMX09687,526201509,Ayush Srivastava,Uttarakhand,Uttarkashi,Uttarkashi,249193,5400150344
BR1200,Royal Garden,LOMX09688,526201510,Priya Sharma,Himachal Pradesh,Shimla,Shimla,171001,5400150345
BR1201,Metro Plaza,LOMX09689,526201511,Ananya Verma,Himachal Pradesh,Solan,Solan,173212,5400150346
BR1202,Crystal Avenue,LOMX09690,526201512,Kavya Singh,Himachal Pradesh,Mandi,Mandi,175001,5400150347
BR1203,Elite Market,LOMX09691,526201513,Sneha Gupta,Himachal Pradesh,Kangra,Dharamshala,176215,5400150348
BR1204,Central Point,LOMX09692,526201514,Aditi Mishra,Himachal Pradesh,Hamirpur,Hamirpur,177001,5400150349
BR1205,Prime Heights,LOMX09693,526201515,Neha Tiwari,Himachal Pradesh,Una,Una,174303,5400150350
BR1206,Galaxy Road,LOMX09694,526201516,Ishita Pandey,Himachal Pradesh,Bilaspur,Bilaspur,174001,5400150351
BR1207,River View,LOMX09695,526201517,Pooja Yadav,Himachal Pradesh,Chamba,Chamba,176310,5400150352
BR1208,Silver Square,LOMX09696,526201518,Riya Srivastava,Himachal Pradesh,Kullu,Kullu,175101,5400150353
BR1209,Prestige Colony,LOMX09697,526201519,Muskan Chauhan,Himachal Pradesh,Lahaul and Spiti,Keylong,175132,5400150354
BR1210,Lotus Plaza,LOMX09698,526201520,Shreya Saxena,Jammu and Kashmir,Srinagar,Srinagar,190001,5400150355
BR1211,Metro Avenue,LOMX09699,526201521,Simran Agarwal,Jammu and Kashmir,Baramulla,Baramulla,193101,5400150356
BR1212,Royal Point,LOMX09700,526201522,Tanvi Sharma,Jammu and Kashmir,Anantnag,Anantnag,192101,5400150357
BR1213,Crystal Park,LOMX09701,526201523,Nandini Gupta,Jammu and Kashmir,Budgam,Budgam,191111,5400150358
BR1214,Prime Tower,LOMX09702,526201524,Megha Singh,Jammu and Kashmir,Kupwara,Kupwara,193222,5400150359
BR1215,Elite Heights,LOMX09703,526201525,Sakshi Mishra,Jammu and Kashmir,Pulwama,Pulwama,192301,5400150360
BR1216,Central Avenue,LOMX09704,526201526,Payal Tiwari,Jammu and Kashmir,Ganderbal,Ganderbal,191201,5400150361
BR1217,Silver Road,LOMX09705,526201527,Khushi Pandey,Jammu and Kashmir,Kulgam,Kulgam,192231,5400150362
BR1218,Galaxy Plaza,LOMX09706,526201528,Aarohi Yadav,Jammu and Kashmir,Shopian,Shopian,192303,5400150363
BR1219,Riverfront Market,LOMX09707,526201529,Diya Srivastava,Jammu and Kashmir,Bandipora,Bandipora,193502,5400150364
BR1220,Metro Colony,LOMX09708,526201530,Pari Chauhan,Punjab,Gurdaspur,Gurdaspur,143521,5400150365
BR1221,Royal Square,LOMX09709,526201531,Siya Sharma,Punjab,Tarn Taran,Tarn Taran,143401,5400150366
BR1222,Crystal Avenue,LOMX09710,526201532,Avni Verma,Punjab,Pathankot,Pathankot,145001,5400150367
BR1223,Prime Market,LOMX09711,526201533,Myra Gupta,Punjab,Rupnagar,Rupnagar,140001,5400150368
BR1224,Elite Road,LOMX09712,526201534,Navya Mishra,Punjab,Mansa,Mansa,151505,5400150369
BR1225,Central Park,LOMX09713,526201535,Kiara Tiwari,Punjab,Malerkotla,Malerkotla,148023,5400150370
BR1226,Silver Heights,LOMX09714,526201536,Saanvi Pandey,Punjab,Muktsar,Muktsar,152026,5400150371
BR1227,Galaxy Point,LOMX09715,526201537,Riddhi Yadav,Punjab,Faridkot,Faridkot,151203,5400150372
BR1228,River View,LOMX09716,526201538,Anvi Srivastava,Punjab,Nawanshahr,Nawanshahr,144514,5400150373
BR1229,Prestige Plaza,LOMX09717,526201539,Tanya Chauhan,Punjab,Abohar,Abohar,152116,5400150374
BR1230,Lotus Colony,LOMX09718,526201540,Prisha Sharma,Haryana,Yamunanagar,Yamunanagar,135001,5400150375
BR1231,Metro Heights,LOMX09719,526201541,Aashi Verma,Haryana,Kurukshetra,Kurukshetra,136118,5400150376
BR1232,Royal Market,LOMX09720,526201542,Palak Singh,Haryana,Kaithal,Kaithal,136027,5400150377
BR1233,Crystal Point,LOMX09721,526201543,Anushka Gupta,Haryana,Mahendragarh,Narnaul,123001,5400150378
BR1234,Prime Road,LOMX09722,526201544,Vaishnavi Mishra,Haryana,Charkhi Dadri,Dadri,127306,5400150379
BR1235,Elite Square,LOMX09723,526201545,Saloni Tiwari,Haryana,Nuh,Nuh,122107,5400150380
BR1236,Central Avenue,LOMX09724,526201546,Trisha Pandey,Haryana,Palwal,Palwal,121102,5400150381
BR1237,Silver Colony,LOMX09725,526201547,Ruhi Yadav,Haryana,Fatehabad,Fatehabad,125050,5400150382
BR1238,Galaxy Market,LOMX09726,526201548,Mahi Srivastava,Haryana,Jhajjar,Jhajjar,124103,5400150383
BR1239,Riverfront Plaza,LOMX09727,526201549,Juhi Chauhan,Haryana,Gohana,Gohana,131301,5400150384
BR1240,Prestige Park,LOMX09728,526201550,Anika Sharma,Delhi,South West Delhi,Dwarka,110075,5400150385
BR1241,Royal Avenue,LOMX09729,526201551,Meher Verma,Delhi,East Delhi,Mayur Vihar,110091,5400150386
BR1242,Crystal Road,LOMX09730,526201552,Shanaya Singh,Delhi,North Delhi,Civil Lines,110054,5400150387
BR1243,Metro Plaza,LOMX09731,526201553,Inaya Gupta,Delhi,West Delhi,Paschim Vihar,110063,5400150388
BR1244,Elite Heights,LOMX09732,526201554,Ahana Mishra,Delhi,Central Delhi,Daryaganj,110002,5400150389
BR1245,Prime Point,LOMX09733,526201555,Anvi Tiwari,Delhi,South Delhi,Greater Kailash,110048,5400150390
BR1246,Central Market,LOMX09734,526201556,Mysha Pandey,Delhi,North West Delhi,Rohini,110085,5400150391
BR1247,Silver Square,LOMX09735,526201557,Kyra Yadav,Delhi,North East Delhi,Seelampur,110053,5400150392
BR1248,Galaxy Park,LOMX09736,526201558,Samaira Srivastava,Delhi,Shahdara,Shahdara,110032,5400150393
BR1249,River View,LOMX09737,526201559,Aadhya Chauhan,Delhi,New Delhi,Chanakyapuri,110021,5400150394
BR1250,Lotus Heights,LOMX09738,526201560,Priyanshi Sharma,Gujarat,Kutch,Bhuj,370001,5400150395
BR1251,Metro Colony,LOMX09739,526201561,Kashvi Verma,Gujarat,Bharuch,Bharuch,392001,5400150396
